action_swap_path,label_A,label_B,choice_1,choice_2,choice_3,choice_4,choice_5,human_choice,background_choice,choice,choice_is_human,choice_is_bg
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_002312_playing saxophone_to_playing tennis_ymeIZj6pE-A_000001_000011_bg_BiPEqlFe9uA_000024_000034,playing saxophone,playing tennis,tying tie,sweeping floor,playing saxophone,brushing hair,playing tennis,3,5,C,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_002313_archery_to_catching or throwing baseball_vCV2BCbibRc_000002_000012_bg_5x-bCOhZbvE_000007_000017,archery,catching or throwing baseball,catching or throwing baseball,sweeping floor,playing trumpet,tying tie,archery,5,1,A,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_002314_hitting baseball_to_reading book_e8uB0GZsVOQ_000034_000044_bg_HxZTtP7Okxg_000021_000031,hitting baseball,reading book,shooting goal (soccer),skiing (not slalom or crosscountry),dunking basketball,reading book,hitting baseball,5,4,C,False,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_002315_hurdling_to_playing trumpet_HeHaCIdpRdo_000006_000016_bg_jwYikLyqs0k_000002_000012,hurdling,playing trumpet,playing trumpet,hitting baseball,catching or throwing baseball,climbing ladder,hurdling,5,1,C,False,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_002316_dunking basketball_to_eating ice cream_WC2FOUSNyvE_000006_000016_bg_6sT8P_kRhfw_000037_000047,dunking basketball,eating ice cream,tying tie,hurdling,drinking,dunking basketball,eating ice cream,4,5,B,False,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_002317_hurdling_to_dunking basketball_BIPWkY0jIXA_000118_000128_bg_S5b7-MnHens_000003_000013,hurdling,dunking basketball,shooting basketball,playing guitar,hurdling,climbing ladder,dunking basketball,3,5,C,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_002318_driving car_to_hitting baseball_plJH3_MfYzg_000396_000406_bg_YoeNeYbyJJ8_000015_000025,driving car,hitting baseball,deadlifting,driving car,eating cake,hitting baseball,sword fighting,2,4,D,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_002319_playing accordion_to_dunking basketball_hDeDDXismDU_000006_000016_bg_fNvsvkohgY4_000000_000010,playing accordion,dunking basketball,climbing a rope,playing accordion,smoking,playing piano,dunking basketball,2,5,E,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_002320_playing volleyball_to_sweeping floor_xvbYqEnuGLc_000000_000010_bg_k884aDwlkFo_000001_000011,playing volleyball,sweeping floor,sweeping floor,surfing water,catching or throwing frisbee,dribbling basketball,playing volleyball,5,1,C,False,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_002321_hurdling_to_sweeping floor_HeHaCIdpRdo_000006_000016_bg_LNMNZZ4g51I_000047_000057,hurdling,sweeping floor,playing accordion,hurdling,walking the dog,sweeping floor,reading newspaper,2,4,D,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_002322_playing saxophone_to_skiing slalom_G6M0uqfvkLU_000049_000059_bg_ksNTLQkUt_s_000133_000143,playing saxophone,skiing slalom,eating ice cream,tying tie,playing saxophone,climbing a rope,skiing slalom,3,5,C,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_002323_playing accordion_to_hitting baseball_mEko7SMbIJg_000094_000104_bg_bh6Cvz2orzQ_000186_000196,playing accordion,hitting baseball,playing accordion,hitting baseball,playing trumpet,sword fighting,cleaning windows,1,2,B,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_002324_playing volleyball_to_punching person (boxing)_QV2_9AWFsQI_000058_000068_bg_YGyUq_eiXO4_000097_000107,playing volleyball,punching person (boxing),canoeing or kayaking,playing volleyball,walking the dog,punching person (boxing),eating ice cream,2,4,D,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_002325_catching or throwing baseball_to_cleaning windows_Y785o_jKBVU_000022_000032_bg_Yh2-DcIWt88_000006_000016,catching or throwing baseball,cleaning windows,playing tennis,sweeping floor,catching or throwing baseball,cleaning windows,climbing ladder,3,4,C,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_002326_drinking_to_punching person (boxing)_baZKgZy9wdI_000035_000045_bg_BKKZwGtb0HQ_000140_000150,drinking,punching person (boxing),playing basketball,punching person (boxing),deadlifting,writing,drinking,5,2,E,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_002327_playing saxophone_to_playing tennis_K06EmNd6t_I_000006_000016_bg_hB2DZcypK0Y_000187_000197,playing saxophone,playing tennis,playing bass guitar,playing tennis,dunking basketball,playing guitar,playing saxophone,5,2,D,False,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_002328_reading newspaper_to_writing_mAdH0EhOdPI_000002_000012_bg_uLrLun_gnwU_000544_000554,reading newspaper,writing,shooting goal (soccer),writing,playing tennis,climbing a rope,reading newspaper,5,2,B,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_002329_shooting basketball_to_playing accordion_Tzken_qSB5M_000001_000011_bg_UBvJD2xjtvY_000000_000010,shooting basketball,playing accordion,shooting basketball,dunking basketball,playing accordion,playing volleyball,juggling soccer ball,1,3,C,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_002330_smoking_to_surfing water_6tB4dFW137k_000058_000068_bg_-6UpPdfVoyg_000047_000057,smoking,surfing water,eating cake,smoking,playing piano,reading newspaper,surfing water,2,5,E,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_002331_eating ice cream_to_sword fighting_DMHdlJYzL9E_000050_000060_bg_EU_1MKTNEUU_000037_000047,eating ice cream,sword fighting,eating ice cream,playing saxophone,sword fighting,juggling soccer ball,climbing a rope,1,3,B,False,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_002332_dunking basketball_to_catching or throwing frisbee_7RUxUD_STDU_000031_000041_bg_jKqDnoY4S5s_000001_000011,dunking basketball,catching or throwing frisbee,dunking basketball,playing volleyball,cleaning windows,surfing water,catching or throwing frisbee,1,5,A,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_002333_flying kite_to_catching or throwing baseball_1K1b8Zphi3U_000009_000019_bg_F9kCgXa2aTs_000018_000028,flying kite,catching or throwing baseball,catching or throwing baseball,flying kite,punching person (boxing),bowling,canoeing or kayaking,2,1,A,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_002334_playing violin_to_playing volleyball_Dz64L1FfG_o_000019_000029_bg_43Etho3Mvlc_000444_000454,playing violin,playing volleyball,playing guitar,driving car,playing violin,playing volleyball,juggling soccer ball,3,4,C,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_002335_hurdling_to_golf driving_-zA6BKg9ni4_000001_000011_bg_pYKexDBJAYA_000004_000014,hurdling,golf driving,reading book,golf driving,hurdling,bowling,skiing slalom,3,2,B,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_002336_hurdling_to_sweeping floor_mx-PG3EN02c_000002_000012_bg_AyrJLW2Mpbw_000000_000010,hurdling,sweeping floor,skiing (not slalom or crosscountry),sweeping floor,hurdling,bowling,drinking,3,2,B,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_002337_playing violin_to_reading newspaper_--PwWfN1Ae4_000097_000107_bg_hvdAZq0pa_g_000063_000073,playing violin,reading newspaper,playing violin,eating ice cream,juggling balls,walking the dog,reading newspaper,1,5,A,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_002338_eating ice cream_to_opening bottle_GQQ3s4O_-HY_000006_000016_bg_cO947ZSANRg_000023_000033,eating ice cream,opening bottle,opening bottle,archery,writing,canoeing or kayaking,eating ice cream,5,1,E,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_002339_juggling balls_to_tying tie_1cIrRGn5mmQ_000303_000313_bg_iYHlztQWOA0_000050_000060,juggling balls,tying tie,tying tie,golf driving,juggling balls,catching or throwing baseball,opening bottle,3,1,D,False,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_002340_deadlifting_to_skiing (not slalom or crosscountry)_Xx1-h7VaaAo_000013_000023_bg_nLj6wQ2_5Fs_000409_000419,deadlifting,skiing (not slalom or crosscountry),reading newspaper,skiing (not slalom or crosscountry),deadlifting,reading book,writing,3,2,C,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_002341_walking the dog_to_dunking basketball_cRfZ47hAAaU_000028_000038_bg_Epm2c6l1Md8_000002_000012,walking the dog,dunking basketball,dunking basketball,walking the dog,skiing (not slalom or crosscountry),archery,hitting baseball,2,1,A,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_002342_eating ice cream_to_dunking basketball_XdlhSnW2kTE_000003_000013_bg_KJvAFpxMHIg_000003_000013,eating ice cream,dunking basketball,eating ice cream,dunking basketball,punching person (boxing),dribbling basketball,smoking,1,2,B,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_002343_eating ice cream_to_skiing (not slalom or crosscountry)_usHuufTQ1P0_000003_000013_bg_Y_3ggRnzKwA_000045_000055,eating ice cream,skiing (not slalom or crosscountry),skiing (not slalom or crosscountry),climbing a rope,eating ice cream,punching person (boxing),driving car,3,1,C,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_002344_playing guitar_to_skipping rope_bu2qsevGqJQ_000143_000153_bg_JbeJVuoNzJA_000066_000076,playing guitar,skipping rope,playing volleyball,playing guitar,driving car,canoeing or kayaking,skipping rope,2,5,B,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_002345_skiing (not slalom or crosscountry)_to_skiing slalom_myRY7zcyklM_001382_001392_bg_2LhezSZTO6M_001344_001354,skiing (not slalom or crosscountry),skiing slalom,skiing (not slalom or crosscountry),skiing slalom,sword fighting,playing piano,catching or throwing baseball,1,2,B,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_002346_shooting basketball_to_walking the dog_Y3oHAIylSrg_000031_000041_bg_Gi5sXnt1cBM_000034_000044,shooting basketball,walking the dog,drinking,shooting basketball,punching person (boxing),walking the dog,climbing a rope,2,4,C,False,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_002347_canoeing or kayaking_to_punching person (boxing)_XbcgFbULacs_000162_000172_bg_VsX3y5vPBbM_000074_000084,canoeing or kayaking,punching person (boxing),sweeping floor,playing trumpet,punching person (boxing),canoeing or kayaking,writing,4,3,D,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_002348_dribbling basketball_to_shooting goal (soccer)_PFCYthrh-Ls_000001_000011_bg_ZitnZvYYw6w_000052_000062,dribbling basketball,shooting goal (soccer),playing accordion,shooting goal (soccer),hitting baseball,dribbling basketball,deadlifting,4,2,B,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_002349_clean and jerk_to_skiing (not slalom or crosscountry)__yM3K5ryl88_000031_000041_bg_R4F48Es8HS0_000216_000226,clean and jerk,skiing (not slalom or crosscountry),shooting goal (soccer),hurdling,skiing (not slalom or crosscountry),clean and jerk,opening bottle,4,3,D,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_002350_playing trumpet_to_skiing slalom_TL-jX3mjc3k_000088_000098_bg_Zajrgco48XM_000010_000020,playing trumpet,skiing slalom,skipping rope,golf driving,playing trumpet,reading book,skiing slalom,3,5,C,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_002351_playing bass guitar_to_playing volleyball_-3dlwCvBgTI_000155_000165_bg_ZFqcERoPnmg_000413_000423,playing bass guitar,playing volleyball,hitting baseball,eating ice cream,playing volleyball,flying kite,playing bass guitar,5,3,C,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_002352_driving car_to_reading book_sJ9aA_w87II_000047_000057_bg_t-CG8YUiyHE_000031_000041,driving car,reading book,skipping rope,driving car,reading book,playing accordion,juggling balls,2,3,D,False,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_002353_catching or throwing frisbee_to_canoeing or kayaking_7XsWZFqAl8E_000008_000018_bg_ipshO0VZ5do_000033_000043,catching or throwing frisbee,canoeing or kayaking,climbing ladder,reading book,canoeing or kayaking,catching or throwing frisbee,shooting goal (soccer),4,3,C,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_002354_juggling balls_to_hitting baseball_rbI8pTNOGak_000001_000011_bg_3R1kvNrGJK0_000011_000021,juggling balls,hitting baseball,drinking,hitting baseball,juggling balls,dunking basketball,writing,3,2,B,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_002355_juggling soccer ball_to_playing violin_ke-dI9wQSTk_000038_000048_bg_ZZ1m75L6Aaw_000035_000045,juggling soccer ball,playing violin,playing violin,climbing a rope,juggling soccer ball,playing guitar,canoeing or kayaking,3,1,C,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_002356_juggling balls_to_eating ice cream_C-AOi2aAPvc_000041_000051_bg_AEzPWvY3WIc_000025_000035,juggling balls,eating ice cream,climbing ladder,clean and jerk,eating ice cream,juggling balls,bowling,4,3,B,False,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_002357_dribbling basketball_to_eating cake_UthqVZFc6Zk_000145_000155_bg_IRppx8kfVlA_000006_000016,dribbling basketball,eating cake,dribbling basketball,sword fighting,playing accordion,eating cake,surfing water,1,4,A,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_002358_archery_to_punching person (boxing)_pMRAH0hgqB8_000014_000024_bg_hmXNRnf2gwk_000192_000202,archery,punching person (boxing),clean and jerk,punching person (boxing),archery,skiing (not slalom or crosscountry),skiing slalom,3,2,B,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_002359_surfing water_to_clean and jerk_l-5E9cTPYbc_000017_000027_bg_5ZNdkbmv274_000001_000011,surfing water,clean and jerk,smoking,archery,surfing water,skipping rope,clean and jerk,3,5,E,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_002360_juggling soccer ball_to_skipping rope_YfF6iqYm6J0_000000_000010_bg_Cj-BGLVHw4g_000062_000072,juggling soccer ball,skipping rope,juggling balls,skipping rope,juggling soccer ball,brushing teeth,catching or throwing baseball,3,2,B,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_002361_playing accordion_to_catching or throwing baseball_Pl3bGArc5vI_000084_000094_bg_SzWZQDfymmY_000068_000078,playing accordion,catching or throwing baseball,juggling balls,catching or throwing baseball,hurdling,cleaning windows,playing accordion,5,2,E,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_002362_sweeping floor_to_walking the dog_n5ZHSJRZl1U_000002_000012_bg_cRfZ47hAAaU_000028_000038,sweeping floor,walking the dog,catching or throwing frisbee,walking the dog,shooting basketball,sweeping floor,skiing (not slalom or crosscountry),4,2,A,False,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_002363_walking the dog_to_eating cake_-1RxG3SJZfY_000103_000113_bg_d4IhT7ZcfJY_000001_000011,walking the dog,eating cake,eating cake,playing trumpet,skiing (not slalom or crosscountry),walking the dog,playing saxophone,4,1,C,False,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_002364_hurdling_to_punching person (boxing)_hKdVTLOym0U_000075_000085_bg_GCeJ0S7BWj4_000342_000352,hurdling,punching person (boxing),playing accordion,playing basketball,playing piano,hurdling,punching person (boxing),4,5,E,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_002365_playing volleyball_to_sword fighting_hkxsxyp036k_000103_000113_bg_SpopMX9XFJA_000453_000463,playing volleyball,sword fighting,flying kite,playing volleyball,sword fighting,tying tie,golf driving,2,3,C,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_002366_playing accordion_to_juggling balls_jEeV0LPXPxI_000015_000025_bg_DyTh-HA7L6E_000023_000033,playing accordion,juggling balls,juggling balls,playing accordion,shooting basketball,playing basketball,skiing (not slalom or crosscountry),2,1,B,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_002367_playing accordion_to_punching person (boxing)_YgXLcOtQcSg_000028_000038_bg_UL0MlmAzn6Y_000376_000386,playing accordion,punching person (boxing),climbing ladder,playing accordion,reading newspaper,punching person (boxing),canoeing or kayaking,2,4,D,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_002368_sweeping floor_to_writing_5g7U0nNWyK0_000003_000013_bg_SXDvx7OFRRQ_000001_000011,sweeping floor,writing,writing,surfing water,archery,reading book,sweeping floor,5,1,A,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_002369_eating cake_to_climbing ladder_2mFclrl0wo8_000044_000054_bg_qWr7plHuEtE_000024_000034,eating cake,climbing ladder,climbing ladder,brushing teeth,sword fighting,eating cake,playing tennis,4,1,B,False,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_002370_skiing slalom_to_hurdling_MMSVjiTi6YQ_000120_000130_bg_JlwpQhOj8Wo_000001_000011,skiing slalom,hurdling,opening bottle,playing saxophone,skiing slalom,flying kite,hurdling,3,5,E,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_002371_smoking_to_brushing hair_ID55j2rq1sc_000007_000017_bg_a2WgvBUiNE0_000144_000154,smoking,brushing hair,sword fighting,brushing hair,catching or throwing baseball,smoking,driving car,4,2,D,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_002372_opening bottle_to_playing saxophone_cO947ZSANRg_000023_000033_bg_7MT7_Kpj3Y8_000065_000075,opening bottle,playing saxophone,playing saxophone,writing,playing bass guitar,opening bottle,bowling,4,1,D,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_002373_playing volleyball_to_skiing (not slalom or crosscountry)_QV2_9AWFsQI_000058_000068_bg_5AezTDJhlDI_001110_001120,playing volleyball,skiing (not slalom or crosscountry),smoking,reading book,playing volleyball,playing saxophone,skiing (not slalom or crosscountry),3,5,E,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_002374_opening bottle_to_surfing water_q9uRhMLChnc_000001_000011_bg_jEh7xb_RPKY_000059_000069,opening bottle,surfing water,smoking,opening bottle,tying tie,surfing water,climbing a rope,2,4,D,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_002375_catching or throwing frisbee_to_walking the dog_a6KJuGCozc4_000014_000024_bg_X6OCjJ8a3-0_000002_000012,catching or throwing frisbee,walking the dog,catching or throwing frisbee,playing violin,walking the dog,playing accordion,playing guitar,1,3,A,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_002376_shooting basketball_to_writing_FV1Td2wZhiA_000001_000011_bg_na9OVxD-EVY_000036_000046,shooting basketball,writing,deadlifting,shooting basketball,archery,dribbling basketball,writing,2,5,E,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_002377_writing_to_golf driving_0ZPQl5QUvo0_000202_000212_bg_1Q-E6UW1XE8_000011_000021,writing,golf driving,sweeping floor,driving car,golf driving,eating cake,writing,5,3,C,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_002378_writing_to_playing bass guitar_G2MO_SNlO2s_000274_000284_bg_-3dlwCvBgTI_000155_000165,writing,playing bass guitar,playing bass guitar,canoeing or kayaking,writing,smoking,sword fighting,3,1,A,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_002379_playing guitar_to_tying tie_RN-9jbSuO-U_000157_000167_bg_6bblVyFrBpM_000037_000047,playing guitar,tying tie,playing accordion,brushing teeth,cleaning windows,tying tie,playing guitar,5,4,E,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_002380_walking the dog_to_brushing teeth_2GbVUe-Sxn0_000001_000011_bg_X9rCMmJm4KA_000060_000070,walking the dog,brushing teeth,walking the dog,playing tennis,brushing teeth,climbing a rope,eating ice cream,1,3,C,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_002381_catching or throwing baseball_to_dunking basketball_F7hs_aIqsbk_000024_000034_bg_rmtX8p-42Lg_000005_000015,catching or throwing baseball,dunking basketball,hitting baseball,sword fighting,catching or throwing baseball,brushing teeth,dunking basketball,3,5,C,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_002382_canoeing or kayaking_to_playing tennis_Bi5SWEY6uH8_000034_000044_bg_b7SLPvwo2mA_000052_000062,canoeing or kayaking,playing tennis,playing guitar,reading book,canoeing or kayaking,clean and jerk,playing tennis,3,5,E,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_002383_reading book_to_eating ice cream_UZRzl9lBGes_000446_000456_bg_XGh8Q2nklzg_000003_000013,reading book,eating ice cream,eating ice cream,reading book,hurdling,skiing (not slalom or crosscountry),cleaning windows,2,1,A,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_002384_dribbling basketball_to_playing piano_252W2TFVj6U_000037_000047_bg_9o68AyEWzcM_000081_000091,dribbling basketball,playing piano,playing piano,dribbling basketball,playing volleyball,opening bottle,juggling balls,2,1,B,True,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_002385_writing_to_skipping rope_7zbUPkmMnr4_000127_000137_bg_nO4BFDXVqCg_000007_000017,writing,skipping rope,skipping rope,hitting baseball,playing basketball,skiing slalom,writing,5,1,A,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_002386_climbing a rope_to_dribbling basketball_U37wFpsVFOs_000004_000014_bg_tI1t5ugTvGY_000299_000309,climbing a rope,dribbling basketball,dribbling basketball,climbing a rope,playing guitar,clean and jerk,walking the dog,2,1,D,False,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_002387_reading newspaper_to_skiing slalom_kwYNw9kakwA_000002_000012_bg_r0dVelmP76E_000195_000205,reading newspaper,skiing slalom,reading newspaper,brushing hair,brushing teeth,deadlifting,skiing slalom,1,5,E,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_002388_sweeping floor_to_flying kite_ZmcFe0bj7N0_000031_000041_bg_0yNXOIqJLtA_000012_000022,sweeping floor,flying kite,flying kite,clean and jerk,canoeing or kayaking,playing basketball,sweeping floor,5,1,B,False,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_002389_playing accordion_to_archery_YgXLcOtQcSg_000028_000038_bg_3and4vWkW4s_000011_000021,playing accordion,archery,skipping rope,catching or throwing baseball,playing accordion,archery,catching or throwing frisbee,3,4,D,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_002390_catching or throwing baseball_to_playing trumpet_LRQcX_Dp7mE_000011_000021_bg_VQkePUpX3Mc_000048_000058,catching or throwing baseball,playing trumpet,playing trumpet,catching or throwing frisbee,opening bottle,playing guitar,catching or throwing baseball,5,1,B,False,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_002391_bowling_to_playing trumpet_YlGfbvL4vu4_000005_000015_bg_qt6B6r2eJyw_000019_000029,bowling,playing trumpet,smoking,bowling,playing trumpet,playing volleyball,climbing a rope,2,3,C,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_002392_playing bass guitar_to_climbing a rope_RBtuNgpscE4_000006_000016_bg_ZzecbRoYQT8_000012_000022,playing bass guitar,climbing a rope,playing violin,playing tennis,playing volleyball,climbing a rope,playing bass guitar,5,4,A,False,False
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_002393_skiing (not slalom or crosscountry)_to_canoeing or kayaking_KLq8MLRmDPo_000094_000104_bg_7Y634PdmHfg_000002_000012,skiing (not slalom or crosscountry),canoeing or kayaking,playing tennis,cleaning windows,canoeing or kayaking,driving car,skiing (not slalom or crosscountry),5,3,C,False,True
/n/fs/visualai-scr/temp_LLP/ellie/slowfast_kinetics/dataset/action_swap/original_action_swap/sample_002394_catching or throwing baseball_to_catching or throwing frisbee_J28fnK7ZI-c_000002_000012_bg_U0ktmc6Jgek_000041_000051,catching or throwing baseball,catching or throwing frisbee,catching or throwing frisbee,canoeing or kayaking,opening bottle,drinking,catching or throwing baseball,5,1,A,False,True
